Distance	CoexpressionScore
98.814511	1.600000
36.522512	0.500000
120.870562	1.100000
40.307135	1.300000
66.273497	1.500000
96.420335	1.400000
38.932788	0.500000
38.316353	2.000000
94.610503	0.400000
64.800286	0.600000
79.885844	1.300000
56.599024	1.100000
6.866114	1.700000
63.140022	0.600000
19.444375	1.300000
76.894696	1.500000
99.120026	1.600000
98.469197	1.200000
126.878469	1.500000
128.403348	1.100000
15.961642	1.400000
22.803787	0.700000
65.695816	1.100000
119.535204	1.200000
53.063032	1.000000
54.539306	1.400000
19.462588	0.500000
123.856356	0.900000
139.249891	1.300000
55.151298	1.300000
56.413548	0.800000
56.314943	1.000000
113.987333	1.200000
110.614031	1.600000
89.312555	1.500000
65.505617	0.900000
127.971174	2.000000
21.735735	2.200000
126.184354	0.900000
66.393444	0.900000
74.753924	0.500000
104.309369	1.900000
48.620338	1.700000
75.688754	0.700000
49.556664	0.900000
94.855647	1.400000
57.588837	1.100000
72.033878	0.500000
82.618246	1.200000
90.140897	0.600000
46.014202	1.200000
105.065999	1.300000
108.909500	1.300000
134.058193	1.200000
95.656161	1.300000
92.720354	0.600000
93.907881	0.300000
83.906920	0.700000
72.175116	0.700000
70.556060	0.900000
118.552545	1.500000
134.102129	0.600000
139.102943	0.800000
76.786868	0.600000
86.859279	1.100000
43.875107	0.900000
87.281122	1.200000
59.659280	1.600000
51.948322	0.500000
88.907897	0.300000
93.019109	1.200000
48.122254	0.500000
71.569599	0.800000
56.296700	0.800000
114.886550	0.900000
103.039847	1.300000
61.023237	0.700000
80.206532	0.000000
161.811552	1.100000
81.120350	1.400000
46.191798	0.500000
78.558056	0.600000
82.353788	1.200000
92.020782	1.000000
63.613013	1.100000
81.471319	0.700000
45.787987	0.800000
86.413223	0.700000
26.738325	1.100000
114.964955	0.900000
100.178039	0.600000
83.495502	0.900000
53.442853	0.600000
97.612798	0.900000
61.575052	0.700000
53.506725	0.500000
27.634266	0.600000
113.591088	1.400000
99.589997	0.700000
89.986732	1.700000
29.401974	0.600000
65.456169	0.600000
91.314736	1.400000
29.285739	1.400000
63.529122	1.800000
26.620639	1.300000
35.493782	0.500000
59.408481	0.700000
87.287180	1.100000
59.678638	0.600000
71.694563	1.400000
56.935584	1.100000
88.731568	1.600000
62.624967	0.400000
105.338443	0.400000
79.724657	1.600000
73.295681	1.000000
40.656278	0.500000
112.953642	1.200000
97.315585	1.500000
97.802392	1.400000
50.491010	1.100000
75.052464	1.200000
118.984816	1.200000
122.041108	1.200000
19.304469	1.200000
50.336204	1.200000
34.613711	1.100000
66.632132	1.400000
105.843592	1.600000
95.741236	1.000000
61.885355	1.500000
71.987491	1.100000
92.310037	1.300000
88.263223	0.700000
73.032418	0.900000
131.033437	1.500000
128.249304	1.400000
65.777297	1.100000
60.074707	0.500000
93.248784	0.400000
101.246147	1.400000
59.716914	1.400000
104.701748	0.800000
55.386262	0.500000
18.814209	0.700000
67.638236	0.400000
54.337442	1.300000
73.667048	0.500000
90.713014	1.200000
65.822615	0.800000
12.742203	1.000000
57.366872	1.100000
79.474939	2.100000
99.161392	1.200000
45.155492	2.100000
86.363789	1.400000
54.882098	1.000000
35.551027	1.800000
33.560431	0.600000
36.318571	0.800000
111.582931	0.700000
125.699397	1.300000
123.203128	0.500000
39.068753	0.400000
35.341093	1.100000
80.813198	1.300000
159.971731	1.100000
112.964417	0.500000
69.800140	1.600000
101.464733	0.300000
78.777693	1.200000
84.128486	1.400000
88.746805	0.700000
47.649165	1.300000
106.322867	0.900000
125.987034	1.000000
30.287154	1.500000
83.162540	1.200000
44.196460	1.900000
26.230295	1.500000
97.817253	1.400000
75.754920	0.000000
61.193638	1.600000
97.068750	2.000000
45.852648	0.600000
14.317730	1.400000
88.791622	1.100000
93.230840	1.300000
