SliceEntropy	CloudEntropy
2.11612	2.32888
1.73469	2.1819
1.9983	2.06713
1.97869	1.70953
1.93056	1.97151
1.97469	2.14297
1.60274	2.10347
1.74505	2.43741
1.90863	2.0743
1.8881	2.39263
1.95741	1.92229
1.81712	2.3076
1.9983	2.08721
1.93565	2.4481
2.35741	1.85131
1.95693	2.0743
1.95693	2.2605
1.84229	2.06863
2.06863	1.74112
2.69869	2.21869
2.03249	2.1778
2.00489	1.77288
1.99112	2.08721
1.78132	2.31662
1.7019	2.29135
2.24489	2.27341
1.84229	2.43341
2.21151	2.06545
2.06204	2.22631
2.03249	2.04011
2.24386	1.95693
2.14268	2.03174
1.84171	1.85056
2.04011	1.77288
2.24322	2.48154
2.29701	2.23327
1.90268	2.15031
1.95693	2.02132
1.92229	1.88411
1.58268	1.69732
1.40568	2.37701
1.61357	2.43741
1.84673	1.91327
2.06928	1.98464
2.42282	2.19352
2.49791	1.95741
1.75662	1.99112
1.93224	2.07031
2.16322	2.17224
1.75662	2.0783
2.03249	2.04011
1.98464	2.25391
2.11341	1.87126
1.90604	1.86682
1.69288	1.77391
2.02347	2.28735
1.98696	1.85524
2.29135	1.80092
2.14771	2.17224
2.09791	2.07171
2.0783	2.2578
1.57135	1.71294
2.27908	1.71034
1.8881	2.01924
2.19249	2.10849
2.01623	2.17288
2.23327	2.07171
1.38826	1.92154
2.5321	2.13135
1.98372	2.48154
1.51534	2.19908
1.84154	2.19741
2.42282	1.92229
1.87294	2.19612
1.49869	1.9143
1.60274	1.90904
1.69732	1.2978
1.67963	2.33716
1.91327	2.06268
2.19741	1.9378
1.82631	2.15031
1.79249	1.87126
1.8107	1.73469
1.85524	2.32888
1.82545	1.9943
2.4219	2.27741
1.42928	2.28411
1.99112	2.27908
2.13366	1.89712
2.45701	1.98464
1.71034	2.08721
1.82545	2.1819
2.2921	2.58347
1.66337	2.34682
1.9943	2.35174
1.15855	2.27341
1.74297	2.21366
1.64735	2.33791
2.27908	2.17131
2.03174	2.23327
1.70953	2.17224
1.51933	2.12092
1.7019	2.17947
2.1045	2.17732
1.56568	1.9419
2.22863	2.42849
1.79126	1.99112
1.47174	2.30372
2.2605	1.8881
1.70953	1.82904
1.71526	1.93056
1.89712	2.14604
2.24322	2.29469
1.57135	2.20643
1.84229	2.23662
1.67963	2.09623
1.84154	2.19908
1.66053	2.19612
1.61357	1.90268
2.3183	2.03174
1.98268	1.56943
2.16322	2.06713
1.71294	2.22771
1.75662	1.99112
2.05469	1.75662
1.88943	2.25791
2.16322	1.74337
1.13131	2.1778
2.12643	2.03693
1.56903	1.87126
