Gene	Field
YOL085C	F
YNL257C	F
YNL159C	F
YJL212C	F
YJL203W	F
YNL172W	F
YNL216W	F
YNL163C	F
YOR260W	F
YNL133C	F
YOL083W	F
YOR273C	F
YOR259C	F
YNL244C	F
YNL111C	F
YOR249C	F
YOR263C	F
YNL299W	F
YNL258C	F
YNL170W	F
YNL253W	F
YNL160W	F
YJL204C	F
YOR258W	F
YJL201W	F
YNL229C	F
YOR274W	F
YNL242W	F
YNL119W	F
YNL217W	F
YNL247W	F
YNL186W	F
YNL287W	F
YNL224C	F
YNL246W	F
YNL255C	F
YJL217W	F
YOR247W	F
YOR282W	F
YNL145W	F
YOR283W	F
YOR270C	F
YNL166C	F
YOR272W	F
YNL171C	F
YOR281C	F
YNL115C	F
YNL106C	F
YNL150W	F
YOR246C	F
YNL144C	F
YNL289W	F
YNL107W	F
YJL107C	F
YJL207C	F
YNL254C	F
YOR265W	F
YNL284C	F
YJL211C	F
YNL134C	F
YNL132W	F
YNL286W	F
YNL165W	F
YNL290W	F
YNL158W	F
YNL227C	F
YJL209W	F
YNL135C	F
YOR294W	F
YNL252C	F
YOR275C	F
YNL146W	F
YJL197W	F
YNL222W	F
YNL285W	F
YNL228W	F
YNL149C	F
YNL142W	F
YJL108C	F
YNL214W	F
YBR254C	G
YBR294W	G
YBR284W	G
YGR176W	G
YBR200W	G
YBR298C	G
YBR204C	G
YGR171C	G
YGR169C	G
YGR214W	G
YGR177C	G
YHR200W	G
YBR293W	G
YGR219W	G
YBR297W	G
YBR168W	G
YBR164C	G
YGR191W	G
YGR184C	G
YBR180W	G
YGR211W	G
YGR145W	G
YBR277C	G
YGR216C	G
YGR217W	G
YBR290W	G
YBR265W	G
YBR208C	G
YBR261C	G
YBR232C	G
YBR223C	G
YGR170W	G
YBR231C	G
YGR183C	G
YBR228W	G
YBR244W	G
YGR178C	G
YBR170C	G
YBR243C	G
YBR211C	G
YGR212W	G
YBR271W	G
YGR186W	G
YBR230C	G
YBR139W	G
YBR218C	G
YGR149W	G
YGR165W	G
YBR151W	G
YGR218W	G
YGR210C	G
YBR296C	G
YBR154C	G
YBR169C	G
YBR147W	G
YBR287W	G
YBR260C	G
YBR274W	G
YGR148C	G
YBR300C	G
YBR187W	G
YBR285W	G
YBR289W	G
YBR209W	G
YBR190W	G
YBR267W	G
YGR125W	G
YBR202W	G
YBR221C	G
YBR174C	G
YBR156C	G
YBR181C	G
YHR199C	G
YBR237W	G
YBR145W	G
YGR215W	G
YGR213C	G
YBR258C	G
YGR181W	G
YBR155W	G
YBR150C	G
YBR283C	G
YBR194W	G
YBR247C	G
YBR192W	G
YBR157C	G
YBR264C	G
YBR198C	G
YBR234C	G
YBR216C	G
YBR241C	G
YBR295W	G
YBR199W	G
YGR162W	G
YGR126W	G
YGR164W	G
YBR282W	G
YBR251W	G
YBR196C	G
YBR189W	G
YBR143C	G
YBR138C	G
YBR188C	G
YBR217W	G
YBR152W	G
YBR179C	G
YBR173C	G
YBR146W	G
YBR288C	G
YBR250W	G
YBR268W	G
YGR168C	G
YBR276C	G
YBR262C	G
